ISIN NUMBER,NAME OF COMPANY,EXCHANGEID,SYMBOL,SERIES
INF209KB10E8,NSE:BSLSENETFG,5957,BSLSENETFG,EQ
IN0020180249,NSE:SGBOCT26,5960,SGBOCT26,GB
IN1020210317,NSE:704AP34,5967,704AP34,SG
IN1020210325,NSE:709AP39,5968,709AP39,SG
IN1220210083,NSE:691AS31,5969,691AS31,SG
IN1320210074,NSE:687BR30,5970,687BR30,SG
IN3520210045,NSE:659CG28,5971,659CG28,SG
IN1420210123,NSE:689GA31A,5972,689GA31A,SG
IN1520210114,NSE:689GJ31,5977,689GJ31,SG
IN3720210027,NSE:70JH33,5983,70JH33,SG
IN1920210011,NSE:688KA31,5986,688KA31,SG
IN1920210029,NSE:693KA32,5987,693KA32,SG
IN2020210166,NSE:705KL36,5991,705KL36,SG
IN2520210047,NSE:706MZ34,5992,706MZ34,SG
IN2920210316,NSE:601RJ26,5994,601RJ26,SG
IN2920210324,NSE:691RJ31B,5995,691RJ31B,SG
IN3120210205,NSE:69TN31,5997,69TN31,SG
IN4520210167,NSE:709TS40,5998,709TS40,SG
IN3320210120,NSE:692UP31,6000,692UP31,SG
IN3420210152,NSE:705WB36,6001,705WB36,SG
INE377E01016,NSE:COASTCORP,6006,COASTCORP,EQ
INE02KC01010,NSE:JAINAM,6012,JAINAM,SM
INE404A01024,NSE:ABSLAMC,6018,ABSLAMC,EQ
INE546V01010,NSE:EIFFL,6040,EIFFL,EQ
INE818B01023,NSE:PASUPTAC,6045,PASUPTAC,EQ
INE214A01019,NSE:CYBERTECH,6051,CYBERTECH,EQ
INE0I3Y01014,NSE:BMETRICS,6052,BMETRICS,SM
INF767K01MV5,NSE:LICNETFGSC,6062,LICNETFGSC,EQ
INE399L01023,NSE:ATGL,6066,ATGL,EQ
INE801L01010,NSE:AIROLAM,6068,AIROLAM,EQ
INE0DZ701010,NSE:DYNAMIC,6079,DYNAMIC,SM
INE0IGO01011,NSE:DESTINY,6087,DESTINY,SM
IN1520210122,NSE:675GJ29,6093,675GJ29,SG
IN1920210037,NSE:696KA31,6095,696KA31,SG
IN3120210213,NSE:697TN31C,6096,697TN31C,SG
IN3320210138,NSE:697UP31A,6099,697UP31A,SG
IN2920210332,NSE:698RJ31,6100,698RJ31,SG
IN2320210056,NSE:70MN31A,6101,70MN31A,SG
IN2620210053,NSE:70NL31,6103,70NL31,SG
IN1920210045,NSE:703KA32,6104,703KA32,SG
IN1020210333,NSE:713AP36A,6112,713AP36A,SG
IN1020210341,NSE:714AP41A,6115,714AP41A,SG
INE303A01010,NSE:DICIND,6122,DICIND,BE
INE127I01024,NSE:GOODLUCK,6125,GOODLUCK,EQ
INE731U01028,NSE:DIGJAMLMTD,6136,DIGJAMLMTD,BE
INE721A07OC7,NSE:930SFL28,6149,930SFL28,YP
INE697V01011,NSE:PANSARI,6152,PANSARI,BE
INE738V01013,NSE:ARTNIRMAN,6159,ARTNIRMAN,BE
INE414D01027,NSE:BHAGCHEM,6164,BHAGCHEM,EQ
INE721A07OF0,NSE:97SFL28,6168,97SFL28,YS
INE530B07146,NSE:85IIFL24,6189,85IIFL24,NJ
INE530B07153,NSE:IIFLZC24,6195,IIFLZC24,NK
INE530B07161,NSE:842IIFL26,6197,842IIFL26,NL
INE045J01026,NSE:FCL,6198,FCL,EQ
INE530B07179,NSE:875IIFL26,6200,875IIFL26,NM
INE530B07187,NSE:IIFLZC26,6207,IIFLZC26,NN
IN1520210130,NSE:604GJ26,6209,604GJ26,SG
IN1920210052,NSE:695KA31,6210,695KA31,SG
IN1620210113,NSE:699HR31,6211,699HR31,SG
IN1920210060,NSE:708KA34A,6212,708KA34A,SG
INE052I01032,NSE:CAMLINFINE,6216,CAMLINFINE,EQ
INE112X01017,NSE:SIKKO,6226,SIKKO,BE
INE341R01014,NSE:DTIL,6227,DTIL,EQ
INE748C01038,NSE:3IINFOLTD,6232,3IINFOLTD,EQ
INE0GN101014,NSE:DKEGL,6249,DKEGL,SM
INE362A01016,NSE:PVP,6273,PVP,BE
INE105I01020,NSE:SELMC,6274,SELMC,BE
INE646B01010,NSE:MEDICAMEQ,6278,MEDICAMEQ,EQ
INE255D01024,NSE:GULPOLY,6286,GULPOLY,EQ
INF209KB10C2,NSE:HEALTHY,6297,HEALTHY,EQ
INE451F01024,NSE:APOLSINHOT,6302,APOLSINHOT,EQ
IN1220210091,NSE:609AS26,6304,609AS26,SG
IN2920210340,NSE:634RJ27,6307,634RJ27,SG
IN3520210052,NSE:662CG28,6315,662CG28,SG
IN1620210121,NSE:663HR28,6317,663HR28,SG
IN1320210082,NSE:695BR30,6318,695BR30,SG
IN1520210148,NSE:693GJ31A,6320,693GJ31A,SG
IN2920210357,NSE:696RJ31,6327,696RJ31,SG
IN1220210109,NSE:699AS31,6330,699AS31,SG
IN3320210146,NSE:699UP31B,6350,699UP31B,SG
IN1020210358,NSE:702AP36,6351,702AP36,SG
IN1020210366,NSE:702AP37,6352,702AP37,SG
INF769K01EG9,NSE:NIFTYETF,6353,NIFTYETF,EQ
IN0020180314,NSE:SGBNOV26,6355,SGBNOV26,GB
IN3420210160,NSE:708WB41,6361,708WB41,SG
INE139A01034,NSE:NATIONALUM,6364,NATIONALUM,EQ
INE652F01027,NSE:CCHHL,6403,CCHHL,BE
INE112F01022,NSE:LAMBODHARA,6407,LAMBODHARA,EQ
INE479D01038,NSE:KRITI,6417,KRITI,EQ
INE370D01013,NSE:MANORG,6422,MANORG,EQ
IN9397D01014,NSE:AIRTELPP,6435,AIRTELPP,E1
INE0J0B01017,NSE:KOTYARK,6441,KOTYARK,SM
INF109KC1V42,NSE:CONSUMIETF,6446,CONSUMIETF,EQ
INE285K01026,NSE:TECHNOE,6448,TECHNOE,BE
INE01Z401013,NSE:SHUBHLAXMI,6451,SHUBHLAXMI,SM
INF209KB11D8,NSE:TECH,6462,TECH,EQ
IN1320210090,NSE:698BR30,6478,698BR30,SG
IN2320210064,NSE:703MN31,6479,703MN31,SG
IN2920210365,NSE:698RJ31A,6480,698RJ31A,SG
IN3120210221,NSE:696TN31,6481,696TN31,SG
IN3420210178,NSE:70WB31A,6482,70WB31A,SG
IN1420210131,NSE:70GA31,6483,70GA31,SG
IN4920210080,NSE:706JK33,6484,706JK33,SG
IN1020210374,NSE:708AP35,6485,708AP35,SG
IN1020210382,NSE:708AP40,6487,708AP40,SG
IN4520210175,NSE:708TS42,6488,708TS42,SG
INE864K01010,NSE:IRIS,6501,IRIS,BE
IN0020210178,NSE:SGBNV29VII,6518,SGBNV29VII,GB
INE0H7R23014,NSE:NHIT,6531,NHIT,IV
INE388Y01029,NSE:NYKAA,6545,NYKAA,EQ
INE137I01015,NSE:GRPLTD,6549,GRPLTD,BE
IN1220210117,NSE:525AS24,6555,525AS24,SG
IN1220210125,NSE:694AS31,6556,694AS31,SG
IN2920210373,NSE:692RJ31,6557,692RJ31,SG
IN3320210153,NSE:693UP31,6558,693UP31,SG
IN1020210390,NSE:70AP38A,6563,70AP38A,SG
IN1020210408,NSE:70AP39B,6564,70AP39B,SG
INE801V01019,NSE:LAXMICOT,6568,LAXMICOT,EQ
INE02NC01014,NSE:FINOPB,6579,FINOPB,EQ
INE0J6L01013,NSE:NIDAN,6592,NIDAN,SM
INE269A01021,NSE:SONATSOFTW,6596,SONATSOFTW,EQ
INE949P01018,NSE:GENUSPAPER,6600,GENUSPAPER,EQ
INF740KA1QK2,NSE:EQUAL50ADD,6606,EQUAL50ADD,EQ
INE284S01014,NSE:SJS,6643,SJS,EQ
INE039A07843,NSE:94IFCI25,6646,94IFCI25,NL
INE039A07850,NSE:IFCIZC25,6652,IFCIZC25,NM
INE417T01026,NSE:POLICYBZR,6656,POLICYBZR,EQ
INE0D0K01022,NSE:SIGACHI,6663,SIGACHI,EQ
INE976E01023,NSE:FOODSIN,6673,FOODSIN,EQ
INE02CV01017,NSE:DRSDILIP,6686,DRSDILIP,SM
IN0020210186,NSE:574GS2026,6695,574GS2026,GS
IN0020210194,NSE:699GS2051,6696,699GS2051,GS
INE982J01020,NSE:PAYTM,6705,PAYTM,EQ
INE893J01029,NSE:MOLDTKPAC,6713,MOLDTKPAC,EQ
INE806T01012,NSE:SAPPHIRE,6718,SAPPHIRE,EQ
INE749A01030,NSE:JINDALSTEL,6733,JINDALSTEL,EQ
IN3120210239,NSE:671TN29,6741,671TN29,SG
IN1920210086,NSE:69KA31,6743,69KA31,SG
IN3320210161,NSE:693UP31A,6744,693UP31A,SG
IN3420210186,NSE:698WB37,6749,698WB37,SG
IN2120210041,NSE:699MP41,6750,699MP41,SG
IN4520210183,NSE:699TS43,6752,699TS43,SG
INE00SZ01018,NSE:MARSHALL,6757,MARSHALL,EQ
INE567A01028,NSE:NIPPOBATRY,6782,NIPPOBATRY,EQ
INE04AK01028,NSE:SBC,6792,SBC,EQ
INE124E01020,NSE:STEELCAS,6803,STEELCAS,EQ
INE823A01017,NSE:KOTHARIPRO,6808,KOTHARIPRO,BE
IN0020210202,NSE:695GS2061,6817,695GS2061,GS
INE0I7C01011,NSE:LATENTVIEW,6818,LATENTVIEW,EQ
IN0020010081,NSE:1018GS2026,6833,1018GS2026,GS
IN0020020106,NSE:795GS2032,6835,795GS2032,GS
INE593W01028,NSE:FOCUS,6839,FOCUS,BE
INE017W01010,NSE:SMLT,6843,SMLT,EQ
INE544R01021,NSE:GREENLAM,6848,GREENLAM,EQ
INE831A01028,NSE:MIRCELECTR,6853,MIRCELECTR,BE
INE506Z01015,NSE:DHRUV,6860,DHRUV,BE
INE411U01027,NSE:BAJAJHCARE,6863,BAJAJHCARE,EQ
IN0020020247,NSE:601GS2028,6866,601GS2028,GS
IN0020030022,NSE:613GS2028,6868,613GS2028,GS
IN0020030071,NSE:597GS2025,6871,597GS2025,GS
IN0020040039,NSE:75GS2034,6873,75GS2034,GS
IN0020050012,NSE:74GS2035,6874,74GS2035,GS
IN1320210108,NSE:687BR30A,6877,687BR30A,SG
IN1720210039,NSE:686HP30,6878,686HP30,SG
IN1720210047,NSE:691HP31,6879,691HP31,SG
IN1720210054,NSE:693HP32,6880,693HP32,SG
IN1720210062,NSE:692HP33,6881,692HP33,SG
IN0020060045,NSE:833GS2036,6883,833GS2036,GS
IN0020060078,NSE:824GS2027,6884,824GS2027,GS
IN0020060086,NSE:828GS2032,6885,828GS2032,GS
IN1920210102,NSE:687KA31,6887,687KA31,SG
IN3820210034,NSE:662PY28,6895,662PY28,SG
IN3420210194,NSE:691WB31,6897,691WB31,SG
IN0020070036,NSE:826GS2027,6898,826GS2027,GS
IN0020070044,NSE:832GS2032,6899,832GS2032,GS
INE270I01022,NSE:VISHNU,6908,VISHNU,EQ
INE760W01015,NSE:RPPL,6913,RPPL,EQ
IN0020070069,NSE:828GS2027,6921,828GS2027,GS
IN0020070077,NSE:833GS2032,6922,833GS2032,GS
IN0020080050,NSE:683GS2039,6935,683GS2039,GS
INE144Z01023,NSE:TARSONS,6943,TARSONS,EQ
INE845D01014,NSE:GANECOS,6944,GANECOS,EQ
INE802B01019,NSE:LINC,6951,LINC,EQ
INE071D01033,NSE:MENONBE,6961,MENONBE,EQ
INE0BJS01011,NSE:GOCOLORS,6964,GOCOLORS,EQ
INE505A01010,NSE:DMCC,6973,DMCC,EQ
IN0020100031,NSE:83GS2040,6981,83GS2040,GS
IN2920210381,NSE:607RJ26,6987,607RJ26,SG
IN1920210128,NSE:683KA31,6988,683KA31,SG
IN2920210399,NSE:684RJ31B,6990,684RJ31B,SG
IN3020210032,NSE:687SK31,6991,687SK31,SG
IN1020210416,NSE:692AP41,6992,692AP41,SG
IN3120210247,NSE:692TN46,6993,692TN46,SG
INE836A01035,NSE:BSOFT,6994,BSOFT,EQ
IN0020110048,NSE:915GS2024,7010,915GS2024,GS
IN0020110055,NSE:897GS2030,7011,897GS2030,GS
IN0020110063,NSE:883GS2041,7013,883GS2041,GS
INE788J01021,NSE:SHIVALIK,7016,SHIVALIK,EQ
IN0020120039,NSE:833GS2026,7019,833GS2026,GS
IN0020120047,NSE:82GS2025,7024,82GS2025,GS
INE276G01015,NSE:ASIANENE,7030,ASIANENE,EQ
IN0020120062,NSE:83GS2042,7034,83GS2042,GS
IN1220210158,NSE:604AS26,7038,604AS26,SG
IN0020130053,NSE:92GS2030,7039,92GS2030,GS
IN1220210166,NSE:687AS31A,7041,687AS31A,SG
IN1320210116,NSE:683BR30,7043,683BR30,SG
IN4920210098,NSE:694JK36,7044,694JK36,SG
IN1920210136,NSE:683KA31A,7045,683KA31A,SG
IN1920210144,NSE:688KA32,7047,688KA32,SG
INE782E01017,NSE:HESTERBIO,7048,HESTERBIO,EQ
IN3120210254,NSE:666TN29,7050,666TN29,SG
INE793A01012,NSE:ACCELYA,7053,ACCELYA,EQ
IN4520210191,NSE:696TS45,7055,696TS45,SG
INF769K01HS7,NSE:MAHKTECH,7074,MAHKTECH,EQ
INE575P01011,NSE:STARHEALTH,7083,STARHEALTH,EQ
IN0020130079,NSE:923GS2043,7087,923GS2043,GS
IN0020140011,NSE:86GS2028,7088,86GS2028,GS
INE955I01044,NSE:SEJALLTD,7094,SEJALLTD,BE
IN0020210228,NSE:SGBD29VIII,7098,SGBD29VIII,GB
INE011K01018,NSE:TEGA,7105,TEGA,EQ
IN0020140052,NSE:824GS2033,7106,824GS2033,GS
INE412C01023,NSE:JMA,7109,JMA,EQ
IN0020140060,NSE:815GS2026,7114,815GS2026,GS
IN0020140078,NSE:817GS2044,7115,817GS2044,GS
IN0020150028,NSE:788GS2030,7122,788GS2030,GS
IN0020150036,NSE:772GS2025,7123,772GS2025,GS
IN0020150044,NSE:813GS2045,7124,813GS2045,GS
IN0020150051,NSE:773GS2034,7127,773GS2034,GS
IN0020150069,NSE:759GS2029,7130,759GS2029,GS
IN0020150077,NSE:772GS2055,7136,772GS2055,GS
INE761Y01019,NSE:ZODIAC,7138,ZODIAC,BE
IN0020150093,NSE:759GS2026,7139,759GS2026,GS
IN0020160019,NSE:761GS2030,7142,761GS2030,GS
INE463V01026,NSE:ANANDRATHI,7145,ANANDRATHI,EQ
IN1320210124,NSE:684BR30,7152,684BR30,SG
IN3820210042,NSE:63PY27,7153,63PY27,SG
IN1420210149,NSE:685GA31C,7154,685GA31C,SG
IN1920210151,NSE:683KA31B,7155,683KA31B,SG
IN3120210262,NSE:683TN31A,7156,683TN31A,SG
IN0020160035,NSE:697GS2026,7158,697GS2026,GS
IN1920210169,NSE:689KA33,7159,689KA33,SG
IN3420210202,NSE:694WB36,7160,694WB36,SG
INE287C01037,NSE:MICEL,7165,MICEL,BE
INE937A01023,NSE:SPMLINFRA,7166,SPMLINFRA,BE
INE0CLI01024,NSE:RATEGAIN,7177,RATEGAIN,EQ
IN0020160068,NSE:706GS2046,7184,706GS2046,GS
IN0020160092,NSE:662GS2051,7193,662GS2051,GS
IN0020160100,NSE:657GS2033,7194,657GS2033,GS
IN0020160118,NSE:679GS2029,7195,679GS2029,GS
INF754K01OB1,NSE:BBETF0432,7196,BBETF0432,EQ
INE217L01019,NSE:SHRIRAMPPS,7200,SHRIRAMPPS,EQ
IN0020170026,NSE:679GS2027,7202,679GS2027,GS
IN0020170042,NSE:668GS2031,7205,668GS2031,GS
IN0020170174,NSE:717GS2028,7208,717GS2028,GS
INE982V01025,NSE:JETFREIGHT,7213,JETFREIGHT,BE
INF200KA1WX6,NSE:SBIETFQLTY,7218,SBIETFQLTY,EQ
INE0BV301023,NSE:MAPMYINDIA,7227,MAPMYINDIA,EQ
INE860A01027,NSE:HCLTECH,7229,HCLTECH,EQ
INE317I01021,NSE:METROBRAND,7242,METROBRAND,EQ
INE804L01022,NSE:MEDPLUS,7254,MEDPLUS,EQ
INE225C01029,NSE:UDAICEMENT,7276,UDAICEMENT,EQ
INE391J01024,NSE:JTLIND,7287,JTLIND,EQ
IN1220210174,NSE:697AS31A,7295,697AS31A,SG
IN1420210156,NSE:698GA31,7296,698GA31,SG
IN1920210177,NSE:696KA31A,7304,696KA31A,SG
IN1920210185,NSE:702KA33,7305,702KA33,SG
IN4920210106,NSE:70JK33,7307,70JK33,SG
IN3320210179,NSE:696UP31,7314,696UP31,SG
IN4520210209,NSE:704TS32,7315,704TS32,SG
IN2620210061,NSE:70NL31A,7316,70NL31A,SG
IN3120210270,NSE:707TN38,7318,707TN38,SG
IN3420210210,NSE:705WB36A,7319,705WB36A,SG
INE498A01018,NSE:DCM,7323,DCM,BE
INE843D01027,NSE:DCMSRIND,7325,DCMSRIND,EQ
INE505V01016,NSE:EUROBOND,7331,EUROBOND,SM
INF209KB16D7,NSE:ABSLNN50ET,7339,ABSLNN50ET,EQ
INF200KA1598,NSE:SETFNN50,7353,SETFNN50,EQ
INE0IX101010,NSE:DATAPATTNS,7358,DATAPATTNS,EQ
INF200KA1580,NSE:SETFNIFBK,7361,SETFNIFBK,EQ
INE948A01012,NSE:TRIGYN,7366,TRIGYN,BE
INE939A01011,NSE:STAR,7374,STAR,EQ
INE0GSL01024,NSE:HPAL,7376,HPAL,EQ
INE733E07JP6,NSE:849NTPC25,7377,849NTPC25,N7
INE0I7D01019,NSE:FOCE,7385,FOCE,SM
INE07RO01027,NSE:SUPRIYA,7390,SUPRIYA,EQ
INE343B01030,NSE:RAJESHEXPO,7401,RAJESHEXPO,EQ
INE935A01035,NSE:GLENMARK,7406,GLENMARK,EQ
INF174KA1IA5,NSE:ALPHA,7412,ALPHA,EQ
INE830Q01018,NSE:MANAKCOAT,7417,MANAKCOAT,BE
INF247L01AU3,NSE:MONQ50,7422,MONQ50,EQ
INE859Q01017,NSE:MANAKALUCO,7427,MANAKALUCO,BE
INE558R01013,NSE:HECPROJECT,7429,HECPROJECT,BE
INE00S901012,NSE:NILASPACES,7450,NILASPACES,BE
INF740KA1CL0,NSE:NIFTY50ADD,7451,NIFTY50ADD,EQ
INF740KA1QL0,NSE:MIDQ50ADD,7456,MIDQ50ADD,EQ
INE293B01029,NSE:HAVISHA,7457,HAVISHA,EQ
INE824Q01011,NSE:MANAKSTEEL,7463,MANAKSTEEL,EQ
IN1220210182,NSE:633AS26A,7495,633AS26A,SG
INE049B01025,NSE:WOCKPHARMA,7497,WOCKPHARMA,BE
IN2920210407,NSE:629RJ26A,7500,629RJ26A,SG
INE251B01027,NSE:ZENTEC,7508,ZENTEC,EQ
IN3820210059,NSE:696PY30,7511,696PY30,SG
IN1220210190,NSE:703AS31,7512,703AS31,SG
IN1420210164,NSE:70GA31A,7513,70GA31A,SG
INE00CA01015,NSE:TREJHARA,7518,TREJHARA,EQ
IN1720210070,NSE:703HP31,7519,703HP31,SG
IN1920210193,NSE:702KA31,7524,702KA31,SG
IN2320210072,NSE:70MN31B,7530,70MN31B,SG
IN2920210415,NSE:703RJ31,7531,703RJ31,SG
IN3120210288,NSE:702TN31,7533,702TN31,SG
IN3320210187,NSE:704UP31,7534,704UP31,SG
IN3620210036,NSE:705UK31,7535,705UK31,SG
IN1720210088,NSE:714HP33,7536,714HP33,SG
INE938A01021,NSE:LCCINFOTEC,7537,LCCINFOTEC,BE
IN4520210217,NSE:714TS33,7538,714TS33,SG
IN1920210201,NSE:712KA34,7539,712KA34,SG
IN1020210424,NSE:714AP35,7540,714AP35,SG
IN2020210174,NSE:714KL35,7541,714KL35,SG
IN4920210114,NSE:714JK36,7543,714JK36,SG
IN2820210127,NSE:714PN36,7544,714PN36,SG
IN3420210228,NSE:712WB36,7548,712WB36,SG
IN1020210432,NSE:714AP40,7549,714AP40,SG
IN1020210440,NSE:714AP41B,7550,714AP41B,SG
INE349A01021,NSE:NRBBEARING,7553,NRBBEARING,EQ
INE368U01011,NSE:UNITEDPOLY,7560,UNITEDPOLY,EQ
INE925R01014,NSE:CMSINFO,7603,CMSINFO,EQ
INE0IA701014,NSE:VIVO,7610,VIVO,SM
INE093B01015,NSE:ALPSINDUS,7623,ALPSINDUS,BE
INE879A01019,NSE:SHREERAMA,7634,SHREERAMA,BE
INE477L07AL3,NSE:825IIFL25,7640,825IIFL25,N7
INE477L07AM1,NSE:IIFLZC25C,7645,IIFLZC25C,N8
INE477L07AN9,NSE:820IIFL27,7648,820IIFL27,N9
IN0020180389,NSE:SGBDEC26,7654,SGBDEC26,GB
INE477L07AO7,NSE:850IIFL27,7662,850IIFL27,NA
INE477L07AP4,NSE:IIFLHFZC27,7666,IIFLHFZC27,NB
INE477L07AQ2,NSE:843IHFL29,7668,843IHFL29,NC
INE477L07AR0,NSE:875IHFL29,7671,875IHFL29,ND
INE172N01012,NSE:IMAGICAA,7672,IMAGICAA,EQ
INE477L07AS8,NSE:IIFLHF29,7674,IIFLHF29,NE
INE903D01011,NSE:MONARCH,7679,MONARCH,EQ
IN4520210225,NSE:718TS33,7690,718TS33,SG
IN1220210208,NSE:712AS32,7691,712AS32,SG
IN1620210139,NSE:713HR32,7692,713HR32,SG
IN1920210219,NSE:71KA32,7693,71KA32,SG
IN1920210227,NSE:718KA33,7694,718KA33,SG
IN1920210235,NSE:722KA35,7707,722KA35,SG
IN2820210135,NSE:714PN32,7708,714PN32,SG
IN3320210195,NSE:712UP32,7709,712UP32,SG
IN3420210236,NSE:714WB32,7710,714WB32,SG
IN1020210457,NSE:724AP38,7711,724AP38,SG
IN1020210465,NSE:718AP40,7713,718AP40,SG
IN2820210143,NSE:719PN37,7714,719PN37,SG
IN1020210473,NSE:722AP42,7715,722AP42,SG
INE253B01015,NSE:21STCENMGM,7750,21STCENMGM,BE
INE148I07KW2,NSE:850SCFL25,7752,850SCFL25,Y4
INE148I07KX0,NSE:9SCFL25,7755,9SCFL25,Y5
INE148I07KY8,NSE:SCL25,7757,SCL25,Y6
INE148I07KZ5,NSE:820SCFL25,7761,820SCFL25,Y7
INE148I07LA6,NSE:866SCFL25,7763,866SCFL25,Y8
INE148I07LB4,NSE:875SCFL27,7765,875SCFL27,Y9
INE148I07LC2,NSE:925SCFL27,7769,925SCFL27,YA
INE148I07LD0,NSE:843SCFL27,7772,843SCFL27,YB
INE148I07LE8,NSE:889SCFL27,7777,889SCFL27,YC
INE977Y01011,NSE:BCONCEPTS,7780,BCONCEPTS,EQ
INE08PH01015,NSE:ABCOTS,7787,ABCOTS,SM
INE481Z01011,NSE:UNIINFO,7791,UNIINFO,EQ
INE606A01024,NSE:AMJLAND,7795,AMJLAND,BE
INE0IJY01014,NSE:TIMESCAN,7800,TIMESCAN,SM
IN1520210155,NSE:577GJ25,7809,577GJ25,SG
IN3120210296,NSE:704TN30,7812,704TN30,SG
IN1920210243,NSE:714KA32,7813,714KA32,SG
IN4520210233,NSE:728TS35,7815,728TS35,SG
IN1920210268,NSE:731KA35,7816,731KA35,SG
IN2920210423,NSE:714RJ32,7819,714RJ32,SG
IN3320210203,NSE:715UP32,7821,715UP32,SG
IN3820210067,NSE:731PY35,7822,731PY35,SG
IN1920210250,NSE:729KA34,7823,729KA34,SG
INE02WG01016,NSE:WEL,7835,WEL,EQ
INF277K015R5,NSE:NETF,7838,NETF,EQ
IN0020210244,NSE:654GS2032,7843,654GS2032,GS
INF109KC10V2,NSE:AUTOIETF,7844,AUTOIETF,EQ
INE828A01016,NSE:BIL,7848,BIL,EQ
INE246B01019,NSE:RAMCOSYS,7851,RAMCOSYS,EQ
INE066P01011,NSE:INOXWIND,7852,INOXWIND,EQ
IN2320210080,NSE:723MN32,7855,723MN32,SG
IN3320210211,NSE:724UP32,7856,724UP32,SG
IN3420210244,NSE:723WB32,7857,723WB32,SG
IN1920210284,NSE:733KA37,7858,733KA37,SG
IN1920210292,NSE:733KA40,7859,733KA40,SG
IN2120210058,NSE:733MP42,7861,733MP42,SG
INE878A01011,NSE:GEPIL,7866,GEPIL,BE
IN2920210431,NSE:643RJ27,7867,643RJ27,SG
IN1320210132,NSE:724BR32,7870,724BR32,SG
IN1420210172,NSE:723GA32,7871,723GA32,SG
IN1920210276,NSE:735KA36,7872,735KA36,SG
INE206B01013,NSE:ZODIACLOTH,7873,ZODIACLOTH,BE
IN4520210241,NSE:734TS34,7874,734TS34,SG
IN0020210236,NSE:SGBJAN30IX,7879,SGBJAN30IX,GB
INF204KC1337,NSE:AUTOBEES,7880,AUTOBEES,EQ
INE268B01013,NSE:KREBSBIO,7885,KREBSBIO,BE
INE112D01035,NSE:MHLXMIRU,7886,MHLXMIRU,EQ
IN1520210171,NSE:618GJ26A,7892,618GJ26A,SG
IN3820210075,NSE:69PY28,7893,69PY28,SG
IN2920210449,NSE:645RJ27A,7894,645RJ27A,SG
INE440A01010,NSE:ASHIMASYN,7895,ASHIMASYN,BE
IN1120210027,NSE:727AR32,7897,727AR32,SG
IN2520210054,NSE:729MZ33,7898,729MZ33,SG
IN2920210456,NSE:724RJ32,7899,724RJ32,SG
IN3020210040,NSE:727SK32,7900,727SK32,SG
INE850E01012,NSE:LFIC,7902,LFIC,EQ
IN3120210304,NSE:724TN32,7904,724TN32,SG
IN3320210229,NSE:728UP32,7905,728UP32,SG
IN3620210044,NSE:725UK32,7907,725UK32,SG
IN1920210300,NSE:737KA38,7908,737KA38,SG
IN1920210318,NSE:736KA39,7910,736KA39,SG
IN3420210251,NSE:748WB37,7911,748WB37,SG
INE583L01014,NSE:AGSTRA,7927,AGSTRA,EQ
INE010B01027,NSE:ZYDUSLIFE,7929,ZYDUSLIFE,EQ
INE319B01014,NSE:BYKE,7930,BYKE,BE
INE871C01038,NSE:AVANTIFEED,7936,AVANTIFEED,EQ
INF109KC1Y56,NSE:SILVERIETF,7942,SILVERIETF,EQ
INE0HKW01018,NSE:PRECISION,7950,PRECISION,SM
INE389C01015,NSE:MALLCOM,7965,MALLCOM,EQ
INE804IA7014,NSE:1015ECL29,7975,1015ECL29,NR
INF769K01IB1,NSE:MAKEINDIA,7979,MAKEINDIA,EQ
INE291A01017,NSE:GRWRHITECH,7982,GRWRHITECH,EQ
INE804IA7022,NSE:1060ECL29,7986,1060ECL29,NS
INF209KB19F6,NSE:SILVER,8003,SILVER,EQ
IN1920210334,NSE:732KA34,8006,732KA34,SG
IN3120210312,NSE:733TN52,8007,733TN52,SG
IN1520210189,NSE:577GJ25A,8008,577GJ25A,SG
IN2220210263,NSE:58MH25,8009,58MH25,SG
IN2920210464,NSE:62RJ26,8010,62RJ26,SG
IN1620210147,NSE:696HR29,8011,696HR29,SG
IN1920210326,NSE:721KA32,8012,721KA32,SG
IN2920210472,NSE:721RJ32,8013,721RJ32,SG
INE039B01026,NSE:CINEVISTA,8024,CINEVISTA,EQ
IN0020180454,NSE:726GS2029,8027,726GS2029,GS
INE813A01018,NSE:MAHLIFE,8050,MAHLIFE,EQ
INE614B01018,NSE:KTKBANK,8054,KTKBANK,EQ
INE614X07365,NSE:11DLSL25,8059,11DLSL25,NV
INE614X07373,NSE:DLSL25,8062,DLSL25,NW
INE614X07381,NSE:1049DLSL25,8067,1049DLSL25,NX
INE00R701025,NSE:DALBHARAT,8075,DALBHARAT,EQ
INF174KA1IB3,NSE:MIDCAP,8077,MIDCAP,EQ
INF204KC1402,NSE:SILVERBEES,8080,SILVERBEES,EQ
INE491V01019,NSE:CROWN,8097,CROWN,BE
INE591A01010,NSE:OILCOUNTUB,8109,OILCOUNTUB,BE
INE699H01024,NSE:AWL,8110,AWL,EQ
INE425Y01011,NSE:RPSGVENT,8119,RPSGVENT,EQ
IN1920210359,NSE:744KA35,8120,744KA35,SG
IN4520210258,NSE:737TS36,8121,737TS36,SG
IN1020210481,NSE:737AP38,8122,737AP38,SG
IN1020210499,NSE:737AP42,8123,737AP42,SG
INE031B01049,NSE:AJANTPHARM,8124,AJANTPHARM,EQ
IN2220210271,NSE:654MH27,8126,654MH27,SG
IN2220210289,NSE:699MH29,8128,699MH29,SG
IN2520210062,NSE:705MZ29,8130,705MZ29,SG
IN3120210320,NSE:704TN30A,8134,704TN30A,SG
